Region,Location,Site,Treatment,Lat,Long,Type,Survey direction,Site Length (m),Site Width (m),NPS code,Notes,site_area,,,,,,,,,,,,,,,,,,,
FGBNMS,East Bank,East 1,Removal,27.9095,-93.59742,Continuos,All directions,,,,,0,,,,,,,,,,,,,,,,,,,
FGBNMS,East Bank,East 4,Removal,27.908817,-93.599833,Continuos,All directions,,,,,0,,,,,,,,,,,,,,,,,,,
FGBNMS,East Bank,East 6,Removal,27.91075,-93.59917,Continuos,All directions,,,,,0,,,,,,,,,,,,,,,,,,,
FGBNMS,East Bank,East 7,Removal,27.9086,-93.598567,Continuos,All directions,,,,,0,,,,,,,,,,,,,,,,,,,
FGBNMS,West Bank ,West 1,Removal,27.8763,-93.815117,Continuos,All directions,,,,,0,,,,,,,,,,,,,,,,,,,
FGBNMS,West Bank ,West 2,Removal,27.875433,-93.813933,Continuos,All directions,,,,,0,,,,,,,,,,,,,,,,,,,
FGBNMS,West Bank ,West 3,Removal,27.874283,-93.816467,Continuos,All directions,,,,,0,,,,,,,,,,,,,,,,,,,
Florida,Biscayne,BISC-P10a,non-removal,25.38374,-80.15926,patch,parallel to shore,48,34,SGREEN 10a,,1632,,,,,,,,,,,,,,,,,,,
Florida,Biscayne,BISC-P12a,non-removal,25.37149,-80.18525,patch,parallel to shore,29,26,SGREEN 12a,,754,,,,,,,,,,,,,,,,,,,
Florida,Biscayne,BISC-P14a,non-removal,25.34455,-80.19677,patch,parallel to shore,56,35,SGREEN 14a,,1960,,,,,,,,,,,,,,,,,,,
Florida,Biscayne,BISC-P7a,non-removal,25.4388,-80.15648,patch,parallel to shore,48,35,SGREEN 07a,,1680,,,,,,,,,,,,,,,,,,,
Florida,Biscayne,BISC-W30a,non-removal,25.362517,-80.14045,continuous,run along offshore ledge,50,40,SGREEN 30a,5m northwest or original coordinate,2000,,,,,,,,,,,,,,,,,,,
Florida,Biscayne,BISC-W60-11c,non-removal,25.306517,-80.15473,continuous,north,50,40,SGREEN 11c,40 m southeast of original point (56ft depth),2000,,,,,,,,,,,,,,,,,,,
Florida,Biscayne,BISC-W60-4b,non-removal,25.341617,-80.146217,continuous,north,50,40,SGREEN 04b,,2000,,,,,,,,,,,,,,,,,,,
Florida,Biscayne,BISC-W60-6d,non-removal,25.41218,-80.12433,continuous,north,50,40,SGREEN 06d,rebar is in valley betwwen two moderate relief spurs,2000,,,,,,,,,,,,,,,,,,,
Florida,Conch Reef,Conch 4B,Non-removal,24.95083,-80.45528,continuous,Adam headings,50,40,,,2000,,,,,,,,,,,,,,,,,,,
Florida,Key Largo,Danger 88,Non-removal,25.18487,-80.26943,patch,parallel to shore,21,9,,,189,,,,,,,,,,,,,,,,,,,
Florida,Key Largo,Dixie Ledge,Non-removal,25.06985,-80.3169,continuous,north,50,40,,,2000,,,,,,,,,,,,,,,,,,,
Florida,Key Largo,KL-P13,Non-removal,25.239,-80.27525,patch,parallel to shore,57,22,,,1254,,,,,,,,,,,,,,,,,,,
Florida,Key Largo,KL-P2,Non-removal,25.0427,-80.4077,patch,parallel to shore,19,9,,,171,,,,,,,,,,,,,,,,,,,
Florida,Key Largo,KL-P4,Non-removal,25.09616,-80.3584,patch,parallel to shore,24,16,,,384,,,,,,,,,,,,,,,,,,,
Florida,Key Largo,KL-P6,Non-removal,25.10627,-80.33422,patch,parallel to shore,19,14,,,266,,,,,,,,,,,,,,,,,,,
Florida,Key Largo,KL-P8,Non-removal,25.12267,-80.3382,patch,parallel to shore,70,38,,,2660,,,,,,,,,,,,,,,,,,,
Florida,Key Largo,KL-W12,Non-removal,25.18503,-80.2245,continuous,north,50,40,,,2000,,,,,,,,,,,,,,,,,,,
Florida,Key Largo,KL-W2,Non-removal,25.01708,-80.36359,continuous,north,50,40,,,2000,,,,,,,,,,,,,,,,,,,
Florida,Key Largo,KL-W8,Non-removal,25.12948,-80.26458,continuous,north,50,40,,,2000,,,,,,,,,,,,,,,,,,,
Florida,Tennessee Reef,Ten 3A,Non-removal,24.76418,-80.75455,continuous,Adam headings,50,40,,,2000,,,,,,,,,,,,,,,,,,,
Florida,Key Largo,Benwood Ledge,Removal,25.05202,-80.33108,continuous,north,42,34,,,1428,,,,,,,,,,,,,,,,,,,
Florida,Biscayne,BISC-P11a,Removal,25.3891,-80.1749,patch,parallel to shore,56,39,SGREEN 11a,,2184,,,,,,,,,,,,,,,,,,,
Florida,Biscayne,BISC-P13a,Removal,25.36596,-80.17025,patch,parallel to shore,88,70,SGREEN 13a,,6160,,,,,,,,,,,,,,,,,,,
Florida,Biscayne,BISC-P15a,Removal,25.32747,-80.19591,patch,parallel to shore,43,42,SGREEN 15a,,1806,,,,,,,,,,,,,,,,,,,
Florida,Biscayne,BISC-P9a,Removal,25.41211,-80.15293,patch,parallel to shore,50,40,SGREEN 09a,,2000,,,,,,,,,,,,,,,,,,,
Florida,Biscayne,BISC-W12,Removal,25.29342,-80.16365,continuous,north,50,40,SGREEN 12,10-15m ENE of original coordinate,2000,,,,,,,,,,,,,,,,,,,
Florida,Biscayne,BISC-W13,Removal,25.3259,-80.15105,continuous,north,50,40,SGREEN 13,~55m north of original coordinate,2000,,,,,,,,,,,,,,,,,,,
Florida,Biscayne,BISC-W40-b,Removal,25.38493,-80.132617,continuous,north,50,40,SGREEN 40-b,~100m north of original coordinate,2000,,,,,,,,,,,,,,,,,,,
Florida,Biscayne,BISC-W60-2b,Removal,25.44028,80.11593,continuous,north,50,40,SGREEN 60-2b,pin approximately 250ft north of originbal coordinate,2000,,,,,,,,,,,,,,,,,,,
Florida,Conch Reef,Conch 3A,Removal,24.9515,-80.45342,continuous,Adam headings,50,40,,,2000,,,,,,,,,,,,,,,,,,,
Florida,Conch Reef,Conch 6A,Removal,24.94922,-80.45422,continuous,Adam headings,50,40,,,2000,,,,,,,,,,,,,,,,,,,
Florida,Matecumbe Key,FKSP 1,Removal,24.83727,-80.73035,patch,parallel to shore,65,32,,,2080,,,,,,,,,,,,,,,,,,,
Florida,Key Largo,KL-30,Removal,25.13613,-80.33527,patch,parallel to shore,42,19,,,798,,,,,,,,,,,,,,,,,,,
Florida,Key Largo,KL-P11,Removal,25.2076,-80.28345,patch,parallel to shore,34,16,,,544,,,,,,,,,,,,,,,,,,,
Florida,Key Largo,KL-P14,Removal,25.27105,-80.25161,patch,parallel to shore,55,34,,,1870,,,,,,,,,,,,,,,,,,,
Florida,Key Largo,KL-P5,Removal,25.0995,-80.3418,patch,parallel to shore,51,21,,,1071,,,,,,,,,,,,,,,,,,,
Florida,Key Largo,KL-P7,Removal,25.11229,-80.33028,patch,parallel to shore,50,40,,,2000,,,,,,,,,,,,,,,,,,,
Florida,Key Largo,KL-W11,Removal,25.15847,-80.25019,continuous,north,50,40,,,2000,,,,,,,,,,,,,,,,,,,
Florida,Key Largo,KL-W13,Removal,25.197817,-80.219733,continuous,north,50,40,,,2000,,,,,,,,,,,,,,,,,,,
Florida,Key Largo,KL-W7,Removal,25.11549,-80.27799,continuous,north,24,18,,,432,,,,,,,,,,,,,,,,,,,
Florida,Tennessee Reef,Ten 2A,Removal,24.76258,-80.75648,continuous,Adam headings,50,40,,,2000,,,,,,,,,,,,,,,,,,,
Florida,Tennessee Reef,Ten 5A,Removal,24.76603,-80.75181,continuous,Adam headings,50,40,,,2000,,,,,,,,,,,,,,,,,,,
USVI,Buck,Buck-I3,Non-removal,17.78515,-64.61129,fringing,west,,,,,0,,,,,,,,,,,,,,,,,,,
USVI,Buck,Buck-I4,Non-removal,17.78294,-64.61707,fringing,west,,,,,0,,,,,,,,,,,,,,,,,,,
USVI,Buck,Buck-LF3,Non-removal,17.79936,-64.63895,continuous,east,,,,,0,,,,,,,,,,,,,,,,,,,
USVI,Buck,Buck-LF3 South,Non-removal,17.79332,-64.64187,continuous,east,,,,,0,,,,,,,,,,,,,,,,,,,
USVI,Buck,Buck-P2,Non-removal,17.77765,-64.60845,patch,east,,,,,0,,,,,,,,,,,,,,,,,,,
USVI,Buck,Buck-P4,Non-removal,17.78057,-64.60382,patch,east,,,,,0,,,,,,,,,,,,,,,,,,,
USVI,Buck,Buck-P6,Non-removal,17.77672,-64.5915,patch,east,,,,,0,,,,,,,,,,,,,,,,,,,
USVI,Buck,Buck-P8,Non-removal,17.78188,-64.59433,patch,east,,,,,0,,,,,,,,,,,,,,,,,,,
USVI,Buck,Buck-I1,Removal,17.78241,-64.61976,fringing,west,,,,,0,,,,,,,,,,,,,,,,,,,
USVI,Buck,Buck-I2,Removal,17.7834,-64.6147,fringing,west,,,,,0,,,,,,,,,,,,,,,,,,,
USVI,Buck,Buck-LF4,Removal,17.79705,-64.63998,continuous,east,,,,,0,,,,,,,,,,,,,,,,,,,
USVI,Buck,Buck-LF5,Removal,17.80367,-64.63655,continuous,east,,,,,0,,,,,,,,,,,,,,,,,,,
USVI,Buck,Buck-P1,Removal,17.77933,-64.61403,patch,east,,,,,0,,,,,,,,,,,,,,,,,,,
USVI,Buck,Buck-P3,Removal,17.78228,-64.608,patch,east,,,,,0,,,,,,,,,,,,,,,,,,,
USVI,Buck,Buck-P5,Removal,17.77763,-64.59573,patch,east,,,,,0,,,,,,,,,,,,,,,,,,,
USVI,Buck,Buck-P7,Removal,17.77682,-64.6018,patch,east,,,,,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
