binomial,lifestage,fnt_group
Enchelycore nigricans,adult,carnivore
Gymnothorax funebris,adult,carnivore
Gymnothorax miliaris,adult,carnivore
Gymnothorax moringa,adult,carnivore
Gymnothorax vicinus,adult,carnivore
Myrichthys breviceps,adult,invertivore
Menidia peninsulae,adult,planktivore
Holocentrus adscensionis,adult,invertivore
Holocentrus rufus,adult,invertivore
Myripristis jacobus,adult,planktivore
Acanthurus chirurgus,adult,herbivore
Acanthurus coeruleus,adult,herbivore
Acanthurus coeruleus,juvenile,herbivore
Acanthurus tractus,adult,herbivore
Apogon binotatus,adult,planktivore
Apogon lachneri,adult,planktivore
Hypleurochilus bermudensis,adult,omnivore
Parablennius marmoreus,adult,omnivore
Callionymus bairdi,adult,carnivore
Caranx bartholomaei,adult,carnivore
Caranx crysos,adult,carnivore
Caranx ruber,adult,carnivore
Decapterus macarellus,adult,planktivore
Decapterus punctatus,adult,planktivore
Seriola dumerili,adult,carnivore
Trachinotus carolinus,adult,invertivore
Trachinotus falcatus,adult,invertivore
Acanthemblemaria aspera,adult,invertivore
Acanthemblemaria chaplini,adult,invertivore
Emblemaria pandionis,adult,invertivore
Emblemariopsis bahamensis,adult,invertivore
Emblemariopsis diaphana,adult,invertivore
Hemiemblemaria simulus,adult,carnivore
Chaetodon capistratus,adult,invertivore
Chaetodon ocellatus,adult,invertivore
Chaetodon sedentarius,adult,invertivore
Chaetodon striatus,adult,invertivore
Prognathodes aculeatus,adult,invertivore
Chaetodipterus faber,adult,invertivore
Cephalopholis cruentata,adult,carnivore
Cephalopholis fulva,adult,carnivore
Epinephelus adscensionis,adult,invertivore
Epinephelus guttatus,adult,invertivore
Epinephelus morio,adult,carnivore
Epinephelus striatus,adult,carnivore
Mycteroperca bonaci,adult,carnivore
Mycteroperca microlepis,adult,carnivore
Mycteroperca phenax,adult,carnivore
Rypticus saponaceus,adult,carnivore
Coryphopterus dicrus,adult,omnivore
Coryphopterus eidolon,adult,omnivore
Coryphopterus glaucofraenum,adult,omnivore
Coryphopterus personatus,adult,planktivore
Ctenogobius saepepallens,adult,invertivore
Elacatinus oceanops,adult,invertivore
Gnatholepis thompsoni,adult,omnivore
Nes longus,adult,invertivore
Tigrigobius macrodon,adult,invertivore
Anisotremus surinamensis,adult,invertivore
Anisotremus virginicus,adult,invertivore
Haemulon album,adult,invertivore
Haemulon aurolineatum,adult,omnivore
Haemulon bonariense,adult,carnivore
Haemulon carbonarium,adult,invertivore
Haemulon chrysargyreum,adult,planktivore
Haemulon flavolineatum,adult,invertivore
Haemulon macrostomum,adult,invertivore
Haemulon melanurum,adult,invertivore
Haemulon parra,adult,carnivore
Haemulon plumierii,adult,carnivore
Haemulon sciurus,adult,invertivore
Haemulon striatum,adult,planktivore
Kyphosus sectatrix,adult,omnivore
Kyphosus vaigiensis,adult,omnivore
Bodianus rufus,adult,invertivore
Clepticus parrae,adult,planktivore
Cryptotomus roseus,adult,herbivore
Halichoeres bivittatus,adult,carnivore
Halichoeres garnoti,adult,invertivore
Halichoeres maculipinna,adult,invertivore
Halichoeres pictus,adult,invertivore
Halichoeres poeyi,adult,invertivore
Halichoeres radiatus,adult,invertivore
Halichoeres radiatus,juvenile,invertivore
Lachnolaimus maximus,adult,invertivore
Lachnolaimus maximus,juvenile,invertivore
Scarus coelestinus,adult,herbivore
Scarus coeruleus,adult,omnivore
Scarus guacamaia,adult,herbivore
Scarus iseri,adult,herbivore
Scarus taeniopterus,adult,herbivore
Scarus vetula,adult,herbivore
Sparisoma atomarium,adult,herbivore
Sparisoma aurofrenatum,adult,herbivore
Sparisoma chrysopterum,adult,herbivore
Sparisoma radians,adult,herbivore
Sparisoma rubripinne,adult,herbivore
Sparisoma viride,adult,omnivore
Thalassoma bifasciatum,adult,planktivore
Xyrichtys novacula,adult,invertivore
Xyrichtys splendens,adult,invertivore
Gobioclinus bucciferus,adult,carnivore
Malacoctenus gilli,adult,invertivore
Malacoctenus macropus,adult,invertivore
Malacoctenus triangulatus,adult,invertivore
Lutjanus analis,adult,invertivore
Lutjanus apodus,adult,carnivore
Lutjanus buccanella,adult,carnivore
Lutjanus cyanopterus,adult,carnivore
Lutjanus griseus,adult,carnivore
Lutjanus jocu,adult,carnivore
Lutjanus mahogoni,adult,carnivore
Lutjanus synagris,adult,carnivore
Ocyurus chrysurus,adult,carnivore
Ptereleotris calliura,adult,planktivore
Mulloidichthys martinicus,adult,invertivore
Pseudupeneus maculatus,adult,carnivore
Opistognathus aurifrons,adult,planktivore
Opistognathus macrognathus,adult,carnivore
Holacanthus bermudensis,adult,invertivore
Holacanthus bermudensis,juvenile,invertivore
Holacanthus ciliaris,adult,invertivore
Holacanthus ciliaris,juvenile,invertivore
Holacanthus tricolor,adult,omnivore
Holocanthus townsendi,adult,omnivore
Pomacanthus arcuatus,adult,omnivore
Pomacanthus arcuatus,juvenile,omnivore
Pomacanthus paru,adult,omnivore
Pomacanthus paru,juvenile,omnivore
Abudefduf saxatilis,adult,omnivore
Abudefduf saxatilis,juvenile,omnivore
Chromis cyanea,adult,planktivore
Chromis cyanea,juvenile,planktivore
Chromis insolata,adult,planktivore
Chromis insolata,juvenile,planktivore
Chromis multilineata,adult,planktivore
Chromis multilineata,juvenile,planktivore
Chromis scotti,adult,planktivore
Chromis scotti,juvenile,planktivore
Microspathodon chrysurus,adult,omnivore
Microspathodon chrysurus,juvenile,omnivore
Stegastes adustus,adult,herbivore
Stegastes diencaeus,adult,omnivore
Stegastes diencaeus,juvenile,omnivore
Stegastes leucostictus,adult,omnivore
Stegastes leucostictus,juvenile,omnivore
Stegastes partitus,adult,omnivore
Stegastes partitus,juvenile,omnivore
Stegastes planifrons,adult,omnivore
Stegastes planifrons,juvenile,omnivore
Stegastes xanthurus,adult,omnivore
Stegastes xanthurus,juvenile,omnivore
Equetus punctatus,adult,invertivore
Pareques acuminatus,adult,carnivore
Scomberomorus maculatus,adult,carnivore
Scomberomorus regalis,adult,carnivore
Hypoplectrus floridae,adult,carnivore
Hypoplectrus gemma,adult,carnivore
Hypoplectrus indigo,adult,carnivore
Hypoplectrus nigricans,adult,carnivore
Hypoplectrus puella,adult,carnivore
Hypoplectrus randallorum,adult,carnivore
Hypoplectrus unicolor,adult,carnivore
Serranus baldwini,adult,carnivore
Serranus tabacarius,adult,carnivore
Serranus tigrinus,adult,invertivore
Serranus tortugarum,adult,planktivore
Archosargus probatocephalus,adult,invertivore
Archosargus rhomboidalis,adult,omnivore
Calamus bajonado,adult,invertivore
Calamus calamus,adult,invertivore
Calamus nodosus,adult,invertivore
Calamus pennatula,adult,invertivore
Calamus proridens,adult,invertivore
Sphyraena barracuda,adult,carnivore
Synodus intermedius,adult,carnivore
Synodus synodus,adult,carnivore
Bothus ocellatus,adult,carnivore
Pterois volitans,adult,carnivore
Scorpaena plumieri,adult,carnivore
Aulostomus maculatus,adult,carnivore
Balistes capriscus,adult,invertivore
Canthidermis sufflamen,adult,planktivore
Diodon holocanthus,adult,invertivore
Diodon hystrix,adult,invertivore
Aluterus scriptus,adult,omnivore
Cantherhines macrocerus,adult,omnivore
Cantherhines pullus,adult,omnivore
Monacanthus tuckeri,adult,omnivore
Acanthostracion quadricornis,adult,omnivore
Lactophrys bicaudalis,adult,omnivore
Lactophrys bicaudalis,juvenile,omnivore
Lactophrys trigonus,adult,omnivore
Lactophrys triqueter,adult,invertivore
Lactophrys triqueter,juvenile,invertivore
Canthigaster rostrata,adult,omnivore
Sphoeroides spengleri,adult,invertivore