session,site,SVC_date,prey_date,pred_date,SVC_dive_start,SVC_dive_end,prey_time,pred_time_start,pred_time_end,,legend:,,unmatched date,,unmatched time,
141,BISC-P12a,2014-09-16,2014-09-16,2014-09-16,1452,1520,1476.5,NA,NA,,,,,,,
142,BISC-P13a,2014-09-16,2014-09-16,2014-09-16,1322,1345,1330.5,NA,NA,,,,,,,
143,BISC-W30a,2014-09-16,2014-09-16,2014-09-16,1140,1220,1174.5,42690,43830,,,,,,,
144,BISC-W40-b,2014-09-16,2014-09-16,2014-09-16,1012,1105,1025,37740,38910,,,,,,,
145,BISC-P11a,2014-09-17,2014-09-17,2014-09-17,1555,1615,1582.5,NA,NA,,,,,,,
146,BISC-P15a,2014-09-17,2014-09-17,2014-09-17,1405,1445,1428,NA,NA,,,,,,,
147,BISC-W12,2014-09-17,2014-09-17,2014-09-17,1020,110,1041.5,37950,38670,,,,,,,
148,BISC-W13,2014-09-17,2014-09-17,2014-09-17,1225,1305,1234.5,45900,46830,,,,,,,
149,BISC-P7a,2014-09-18,2014-09-18,2014-09-18,1356,1437,1385.5,51280,52780,,,,,,,
150,BISC-P9a,2014-09-18,2014-09-18,2014-09-18,1538,1610,1547.5,NA,NA,,,,,,,
151,BISC-W60-2b,2014-09-18,2014-09-18,2014-09-18,1228,1307,1228,44880,45990,,,,,,,
152,BISC-W60-6d,2014-09-18,2014-09-18,2014-09-18,1022,1052,1022,37260,38340,,,,,,,
153,BISC-P10a,2014-09-19,2014-09-19,2014-09-19,1540,1625,1608.5,NA,NA,,,,,,,
154,BISC-P14a,2014-09-19,2014-09-19,2014-09-19,1420,1510,1435,NA,NA,,,,,,,
155,BISC-W60-11c,2014-09-19,2014-09-19,2014-09-19,1033,1115,1041,38580,39960,,,,,,,
156,BISC-W60-4b,2014-09-19,2014-09-19,2014-09-19,1245,1340,1280.5,46590,47790,,,,,,,
157,Dixie Ledge,2014-09-22,2014-09-22,2014-09-22,930,1025,963.5,34800,35760,,,,,,,
158,KL-P6,2014-09-22,2014-09-22,2014-09-22,1508,1540,1516.75,54880,55160,,,,,,,
159,KL-P7,2014-09-22,2014-09-22,2014-09-22,1415,1445,1425.75,51740,52160,,,,,,,
160,KL-P8,2014-09-22,2014-09-22,2014-09-22,1312,1400,1328.25,48260,48840,,,,,,,
161,KL-W7,2014-09-22,2014-09-22,2014-09-22,1133,1220,1146,42360,43470,,,,,,,
162,DANGER 88,2014-09-24,2014-09-24,2014-09-24,1312,1330,NA,NA,NA,,,,,,,
163,KL-30,2014-09-24,2014-09-24,2014-09-24,1430,1510,1442.5,53620,54660,,,,,,,
164,KL-P4,2014-09-24,2014-09-24,2014-09-24,1608,1645,1617.5,58540,58760,,,,,,,
165,KL-W2,2014-09-24,2014-09-24,2014-09-24,950,1030,977.5,35700,36690,,,,,,,
166,KL-W8,2014-09-24,2014-09-24,2014-09-24,1153,1240,1184.75,43410,44490,,,,,,,
168,KL-P11,2014-09-25,2014-09-25,2014-09-25,1612,1645,1623.75,59120,60040,,,,,,,
169,KL-P13,2014-09-25,2014-09-25,2014-09-25,1450,1515,1498,NA,NA,,,,,,,
170,KL-P14,2014-09-25,2014-09-25,2014-09-25,1342,1420,1363.75,NA,NA,,,,,,,
171,KL-W11,2014-09-25,2014-09-25,2014-09-25,1150,1240,1184.75,43680,44580,,,,,,,
172,KL-W12,2014-09-26,2014-09-26,2014-09-26,1135,1215,1141.5,42420,43410,,,,,,,
173,KL-W13,2014-09-26,2014-09-26,2014-09-26,955,1040,986.75,36360,37260,,,,,,,
174,FKSP1,2014-09-28,2014-09-28,2014-09-28,1630,1710,NA,60680,60980,,,,,,,
175,Ten 2A,2014-09-28,2014-09-28,2014-09-28,1435,1535,1481,54000,56010,,,,,,,
176,Ten 3A,2014-09-28,2014-09-28,2014-09-28,1240,1340,1297.25,47160,49050,,,,,,,
177,Ten 5A,2014-09-28,2014-09-28,2014-09-28,1050,1145,1111.25,40140,41190,,,,,,,
178,Conch 3A,2014-09-14,2014-09-29,2014-09-29,1008,1045,1019.25,36750,37620,,,,,,,
179,Conch 4B,2014-09-14,2014-09-29,2014-09-29,1200,NA,1211.25,43830,44790,,,,,,,
180,Conch 6A,2014-09-14,2014-09-29,2014-09-29,1345,NA,1376.5,49980,50820,,,,,,,
182,KL-P2,2014-09-29,2014-09-29,2014-09-29,1524,1545,1526.75,55840,56140,,,,,,,
185,BISC-P12a,2015-03-16,2015-03-16,2015-03-16,1536,1605,1558.75,57600,58120,,,,,,,
186,BISC-P13a,2015-03-16,2015-03-16,2015-03-16,1417,1440,1429.5,NA,NA,,,,,,,
187,BISC-W13,2015-03-16,2015-03-16,2015-03-16,1030,1115,1040.5,NA,NA,,,,,,,
188,BISC-W60-4b,2015-03-16,2015-03-16,2015-03-16,1237,1315,1247.5,47280,48330,,,,,,,
189,KL-W2,2015-03-17,2015-03-17,2015-03-17,1602,1645,1615,1502,1540,,,,,,,
190,KL-W7,2015-03-17,2015-03-17,2015-03-17,1358,1445,1437.75,1248,1339,,,,,,,
191,BISC-P14a,2015-03-18,2015-03-18,2015-03-18,1522,1547,1529.75,55920,56420,,,,,,,
192,BISC-P15a,2015-03-18,2015-03-18,2015-03-18,1324,1346,1338.5,49920,51640,,,,,,,
193,BISC-W12,2015-03-18,2015-03-18,2015-03-18,943,1037,975.25,36060,37410,,,,,,,
194,BISC-W60-11c,2015-03-18,2015-03-18,2015-03-18,1152,1240,1183.5,43320,44280,,,,,,,
195,BISC-P10a,2015-03-19,2015-03-19,2015-03-19,1425,1500,1437.25,53040,54180,,,,,,,
196,BISC-P11a,2015-03-19,2015-03-19,2015-03-19,1315,1340,1329.5,48660,49340,,,,,,,
197,BISC-W30a,2015-03-19,2015-03-19,2015-03-19,1150,NA,1184,43560,44670,,,,,,,
198,BISC-W40-b,2015-03-19,2015-03-19,2015-03-19,1012,1105,1024.75,37890,39480,,,,,,,
199,BISC-P7a,2015-03-20,2015-03-20,2015-03-20,1346,1410,1382,50620,51120,,,,,,,
200,BISC-P9a,2015-03-20,2015-03-20,2015-03-20,1457,1535,1513,54880,55600,,,,,,,
201,BISC-W60-2b,2015-03-20,2015-03-20,2015-03-20,1214,1300,1227.75,44850,46050,,,,,,,
202,BISC-W60-6d,2015-03-20,2015-03-20,2015-03-20,1010,1055,1023.5,37080,38250,,,,,,,
203,FKSP1,2015-03-22,2015-03-22,2015-03-22,1706,1737,NA,NA,NA,,,,,,,
204,Ten 2A,2015-03-22,2015-03-22,2015-03-22,1047,1145,1114.5,41640,43230,,,,,,,
205,Ten 3A,2015-03-22,2015-03-22,2015-03-22,1302,1350,1321.5,47370,48840,,,,,,,
206,Ten 5A,2015-03-22,2015-03-22,2015-03-22,1515,1618,1547,56070,57060,,,,,,,
207,Conch 3A,2015-03-23,2015-03-23,2015-03-23,1340,1430,1377.75,50190,51390,,,,,,,
208,Conch 4B,2015-03-23,2015-03-23,2015-03-23,1144,1225,1182,42900,43890,,,,,,,
209,Conch 6A,2015-03-23,2015-03-23,2015-03-23,954,1040,1009.75,36360,37680,,,,,,,
210,KL-P2,2015-03-23,2015-03-23,2015-03-23,1534,1605,1565,56780,57380,,,,,,,
211,DANGER 88,2015-03-24,2015-03-24,2015-03-24,1722,1741,NA,63280,64080,,,,,,,
212,KL-P11,2015-03-24,2015-03-24,2015-03-24,1613,1640,1624,59340,60080,,,,,,,
213,KL-P13,2015-03-24,2015-03-24,2015-03-24,1455,1520,1512,54640,55380,,,,,,,
214,KL-P14,2015-03-24,2015-03-24,2015-03-24,1341,1408,1377.25,49920,50380,,,,,,,
215,KL-W12,2015-03-24,2015-03-24,2015-03-24,958,1045,1010.5,36780,37740,,,,,,,
216,KL-W13,2015-03-24,2015-03-24,2015-03-24,1159,1245,NA,43890,45090,,,,,,,
217,KL-P5,2015-03-25,2015-03-25,2015-03-25,1303,1345,1321,48460,49580,,,,,,,
218,KL-P6,2015-03-25,2015-03-25,2015-03-25,1425,1455,1433.5,52820,53240,,,,,,,
219,KL-P7,2015-03-25,2015-03-25,2015-03-25,1522,1551,1527,56640,57560,,,,,,,
220,KL-W11,2015-03-25,2015-03-25,2015-03-25,1127,1215,1133.25,41820,42900,,,,,,,
221,KL-W8,2015-03-25,2015-03-25,2015-03-25,920,1005,933,34080,35100,,,,,,,
222,Benwood Ledge,2015-03-26,2015-03-26,2015-03-26,932,1022,944,34980,36030,,,,,,,
223,Dixie Ledge,2015-03-26,2015-03-26,2015-03-26,1147,1236,NA,43140,44370,,,,,,,
224,KL-30,2015-03-26,2015-03-26,2015-03-26,1509,1610,NA,55740,57000,,,,,,,
225,KL-P4,2015-03-26,2015-03-26,2015-03-26,1654,1720,NA,61440,61880,,,,,,,
226,KL-P8,2015-03-26,2015-03-26,2015-03-26,1326,1407,1377,49980,51120,,,,,,,
227,Benwood Ledge,2015-10-22,2015-10-22,2015-10-22,NA,NA,922.5,34980,35820,,,,,,,
228,KL-W2,2015-10-22,2015-10-22,2015-10-22,NA,NA,1138.25,41730,42600,,,,,,,
229,Dixie Ledge,2015-10-23,2015-10-23,2015-10-23,NA,NA,948.5,34620,35430,,,,,,,
230,KL-W7,2015-10-23,2015-10-23,2015-10-23,NA,NA,1127,40860,41730,,,,,,,
231,KL-W8,2015-10-23,2015-10-23,2015-10-23,NA,NA,1454.166667,51870,52920,,,,,,,
232,BISC-W12,2015-10-24,2015-10-24,2015-10-24,NA,NA,1632,59340,60420,,,,,,,
233,KL-W11,2015-10-24,2015-10-24,2015-10-24,NA,NA,989.5,35490,36180,,,,,,,
234,KL-W12,2015-10-24,2015-10-24,2015-10-24,NA,NA,1133.5,41040,41820,,,,,,,
235,KL-W13,2015-10-24,2015-10-24,2015-10-24,NA,NA,1474.5,53340,54270,,,,,,,
236,Conch 3A,2015-10-25,2015-10-25,2015-10-25,NA,NA,1623.333333,58770,59730,,,,,,,
237,Conch 6A,2015-10-25,2015-10-25,2015-10-25,NA,NA,1471,52350,53850,,,,,,,
238,BISC-W30a,2015-10-26,2015-10-26,2015-10-26,NA,NA,1415.5,50700,51420,,,,,,,
240,BISC-W60-6d,2015-10-26,2015-10-26,2015-10-26,NA,NA,1136.5,39720,40530,,,,,,,
242,BISC-W13,2015-10-27,2015-10-27,2015-10-27,NA,NA,1282,46650,48000,,,,,,,
243,BISC-W60-11c,2015-10-27,2015-10-27,2015-10-27,NA,NA,1408,53850,54990,,,,,,,
244,BISC-W60-4b,2015-10-27,2015-10-27,2015-10-27,NA,NA,1095.5,39270,40350,,,,,,,
245,Conch 4B,2015-10-28,2015-10-28,2015-10-28,NA,NA,1016.25,36300,36930,,,,,,,
246,DANGER 88,2015-10-30,2015-10-30,2015-10-30,NA,NA,1526.75,55020,55380,,,,,,,
247,KL-P2,2015-10-30,2015-10-30,2015-10-30,NA,NA,945.5,34560,34800,,,,,,,
248,KL-P4,2015-10-30,2015-10-30,2015-10-30,NA,NA,1048,38400,38780,,,,,,,
249,KL-P5,2015-10-30,2015-10-30,2015-10-30,NA,NA,NA,42700,43680,,,,,,,
250,KL-P6,2015-10-30,2015-10-30,2015-10-30,NA,NA,1311,47060,47340,,,,,,,
251,KL-P7,2015-10-31,2015-10-31,2015-10-31,NA,NA,1411,50640,51440,,,,,,,
252,KL-P8,2015-10-31,2015-10-31,2015-10-31,NA,NA,1521,54090,54990,,,,,,,
253,KL-30,2015-10-31,2015-10-31,2015-10-31,NA,NA,1637.5,59040,59820,,,,,,,
264,FKSP1,2015-12-11,2015-12-11,NA,NA,NA,1527.75,NA,NA,,,,,,,
265,Ten 2A,2015-12-11,2015-12-11,NA,NA,NA,NA,NA,NA,,,,,,,
266,Ten 3A,2015-12-11,2015-12-11,NA,NA,NA,1083.25,NA,NA,,,,,,,
267,Ten 5A,2015-12-11,2015-12-11,NA,NA,NA,1178.5,NA,NA,,,,,,,
268,BISC-P12a,2015-12-14,2015-12-15,NA,NA,NA,946.5,NA,NA,,,,,,,
269,BISC-P13a,2015-12-15,2015-12-15,NA,NA,NA,1058.75,NA,NA,,,,,,,
270,BISC-P14a,2015-12-15,2015-12-15,NA,NA,NA,1180,NA,NA,,,,,,,
271,BISC-P15a,2015-12-15,2015-12-15,NA,NA,NA,1273.5,NA,NA,,,,,,,
272,KL-P11,2015-12-15,2015-12-15,NA,NA,NA,1584.25,NA,NA,,,,,,,
273,KL-P13,2015-12-15,2015-12-15,NA,NA,NA,1484.25,NA,NA,,,,,,,
274,KL-P14,2015-12-15,2015-12-15,NA,NA,NA,1410.75,NA,NA,,,,,,,
NA,Sheet2,2014-09-29,NA,NA,1636,NA,NA,NA,NA,,,,,,,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,