binomial,lifestage,shape
Enchelycore nigricans,adult,eel-like
Gymnothorax funebris,adult,eel-like
Gymnothorax miliaris,adult,eel-like
Gymnothorax moringa,adult,eel-like
Gymnothorax vicinus,adult,eel-like
Myrichthys breviceps,adult,eel-like
Menidia peninsulae,adult,elongated
Holocentrus adscensionis,adult,fusiform
Holocentrus rufus,adult,fusiform
Myripristis jacobus,adult,fusiform
Acanthurus chirurgus,adult,deep
Acanthurus coeruleus,adult,deep
Acanthurus coeruleus,juvenile,deep
Acanthurus tractus,adult,deep
Apogon binotatus,adult,fusiform
Apogon lachneri,adult,fusiform
Hypleurochilus bermudensis,adult,fusiform
Parablennius marmoreus,adult,fusiform
Callionymus bairdi,adult,elongated
Caranx bartholomaei,adult,fusiform
Caranx crysos,adult,fusiform
Caranx ruber,adult,fusiform
Decapterus macarellus,adult,fusiform
Decapterus punctatus,adult,fusiform
Seriola dumerili,adult,fusiform
Trachinotus carolinus,adult,deep
Trachinotus falcatus,adult,deep
Acanthemblemaria aspera,adult,elongated
Acanthemblemaria chaplini,adult,elongated
Emblemaria pandionis,adult,elongated
Emblemariopsis bahamensis,adult,elongated
Emblemariopsis diaphana,adult,elongated
Hemiemblemaria simulus,adult,elongated
Chaetodon capistratus,adult,deep
Chaetodon ocellatus,adult,deep
Chaetodon sedentarius,adult,deep
Chaetodon striatus,adult,deep
Prognathodes aculeatus,adult,deep
Chaetodipterus faber,adult,deep
Cephalopholis cruentata,adult,fusiform
Cephalopholis fulva,adult,fusiform
Epinephelus adscensionis,adult,fusiform
Epinephelus guttatus,adult,fusiform
Epinephelus morio,adult,fusiform
Epinephelus striatus,adult,fusiform
Mycteroperca bonaci,adult,fusiform
Mycteroperca microlepis,adult,fusiform
Mycteroperca phenax,adult,fusiform
Rypticus saponaceus,adult,fusiform
Coryphopterus dicrus,adult,elongated
Coryphopterus eidolon,adult,fusiform
Coryphopterus glaucofraenum,adult,elongated
Coryphopterus personatus,adult,fusiform
Ctenogobius saepepallens,adult,elongated
Elacatinus oceanops,adult,fusiform
Gnatholepis thompsoni,adult,fusiform
Nes longus,adult,fusiform
Tigrigobius macrodon,adult,elongated
Anisotremus surinamensis,adult,deep
Anisotremus virginicus,adult,deep
Haemulon album,adult,fusiform
Haemulon aurolineatum,adult,fusiform
Haemulon bonariense,adult,fusiform
Haemulon carbonarium,adult,fusiform
Haemulon chrysargyreum,adult,fusiform
Haemulon flavolineatum,adult,fusiform
Haemulon macrostomum,adult,deep
Haemulon melanurum,adult,deep
Haemulon parra,adult,deep
Haemulon plumierii,adult,fusiform
Haemulon sciurus,adult,fusiform
Haemulon striatum,adult,fusiform
Kyphosus sectatrix,adult,fusiform
Kyphosus vaigiensis,adult,deep
Bodianus rufus,adult,fusiform
Clepticus parrae,adult,fusiform
Cryptotomus roseus,adult,fusiform
Halichoeres bivittatus,adult,fusiform
Halichoeres garnoti,adult,fusiform
Halichoeres maculipinna,adult,fusiform
Halichoeres pictus,adult,fusiform
Halichoeres poeyi,adult,fusiform
Halichoeres radiatus,adult,fusiform
Halichoeres radiatus,juvenile,fusiform
Lachnolaimus maximus,adult,deep
Lachnolaimus maximus,juvenile,deep
Scarus coelestinus,adult,fusiform
Scarus coeruleus,adult,fusiform
Scarus guacamaia,adult,fusiform
Scarus iseri,adult,fusiform
Scarus taeniopterus,adult,fusiform
Scarus vetula,adult,fusiform
Sparisoma atomarium,adult,fusiform
Sparisoma aurofrenatum,adult,fusiform
Sparisoma chrysopterum,adult,fusiform
Sparisoma radians,adult,fusiform
Sparisoma rubripinne,adult,fusiform
Sparisoma viride,adult,fusiform
Thalassoma bifasciatum,adult,fusiform
Xyrichtys novacula,adult,elongated
Xyrichtys splendens,adult,elongated
Gobioclinus bucciferus,adult,elongated
Malacoctenus gilli,adult,elongated
Malacoctenus macropus,adult,fusiform
Malacoctenus triangulatus,adult,fusiform
Lutjanus analis,adult,fusiform
Lutjanus apodus,adult,fusiform
Lutjanus buccanella,adult,fusiform
Lutjanus cyanopterus,adult,fusiform
Lutjanus griseus,adult,fusiform
Lutjanus jocu,adult,fusiform
Lutjanus mahogoni,adult,fusiform
Lutjanus synagris,adult,fusiform
Ocyurus chrysurus,adult,fusiform
Ptereleotris calliura,adult,elongated
Mulloidichthys martinicus,adult,fusiform
Pseudupeneus maculatus,adult,fusiform
Opistognathus aurifrons,adult,elongated
Opistognathus macrognathus,adult,elongated
Holacanthus bermudensis,adult,deep
Holacanthus bermudensis,juvenile,deep
Holacanthus ciliaris,adult,deep
Holacanthus ciliaris,juvenile,deep
Holacanthus tricolor,adult,deep
Holocanthus townsendi,adult,deep
Pomacanthus arcuatus,adult,deep
Pomacanthus arcuatus,juvenile,deep
Pomacanthus paru,adult,deep
Pomacanthus paru,juvenile,deep
Abudefduf saxatilis,adult,deep
Abudefduf saxatilis,juvenile,deep
Chromis cyanea,adult,fusiform
Chromis cyanea,juvenile,fusiform
Chromis insolata,adult,fusiform
Chromis insolata,juvenile,fusiform
Chromis multilineata,adult,fusiform
Chromis multilineata,juvenile,fusiform
Chromis scotti,adult,fusiform
Chromis scotti,juvenile,fusiform
Microspathodon chrysurus,adult,fusiform
Microspathodon chrysurus,juvenile,fusiform
Stegastes adustus,adult,fusiform
Stegastes diencaeus,adult,fusiform
Stegastes diencaeus,juvenile,fusiform
Stegastes leucostictus,adult,fusiform
Stegastes leucostictus,juvenile,fusiform
Stegastes partitus,adult,fusiform
Stegastes partitus,juvenile,fusiform
Stegastes planifrons,adult,fusiform
Stegastes planifrons,juvenile,fusiform
Stegastes xanthurus,adult,fusiform
Stegastes xanthurus,juvenile,fusiform
Equetus punctatus,adult,fusiform
Pareques acuminatus,adult,fusiform
Scomberomorus maculatus,adult,fusiform
Scomberomorus regalis,adult,fusiform
Hypoplectrus floridae,adult,deep
Hypoplectrus gemma,adult,deep
Hypoplectrus indigo,adult,deep
Hypoplectrus nigricans,adult,deep
Hypoplectrus puella,adult,deep
Hypoplectrus randallorum,adult,deep
Hypoplectrus unicolor,adult,deep
Serranus baldwini,adult,fusiform
Serranus tabacarius,adult,fusiform
Serranus tigrinus,adult,fusiform
Serranus tortugarum,adult,fusiform
Archosargus probatocephalus,adult,deep
Archosargus rhomboidalis,adult,deep
Calamus bajonado,adult,deep
Calamus calamus,adult,deep
Calamus nodosus,adult,deep
Calamus pennatula,adult,deep
Calamus proridens,adult,deep
Sphyraena barracuda,adult,elongated
Synodus intermedius,adult,elongated
Synodus synodus,adult,elongated
Bothus ocellatus,adult,deep
Pterois volitans,adult,fusiform
Scorpaena plumieri,adult,fusiform
Aulostomus maculatus,adult,elongated
Balistes capriscus,adult,deep
Canthidermis sufflamen,adult,deep
Diodon holocanthus,adult,deep
Diodon hystrix,adult,deep
Aluterus scriptus,adult,deep
Cantherhines macrocerus,adult,deep
Cantherhines pullus,adult,deep
Monacanthus tuckeri,adult,deep
Acanthostracion quadricornis,adult,deep
Lactophrys bicaudalis,adult,deep
Lactophrys bicaudalis,juvenile,deep
Lactophrys trigonus,adult,deep
Lactophrys triqueter,adult,deep
Lactophrys triqueter,juvenile,deep
Canthigaster rostrata,adult,deep
Sphoeroides spengleri,adult,fusiform