species_order,family,binomial,common_name,lifestage,predator_presence,nocturnal,position,behavior,max_length,colouration_cat3,cryptic_behaviour,trophic,shape
Anguilliformes,Muraenidae,Enchelycore nigricans,viper moray,adult,0,0,1,0,100,0,1,4,0
Anguilliformes,Muraenidae,Gymnothorax funebris,green moray,adult,1,1,1,0,250,1,1,4,0
Anguilliformes,Muraenidae,Gymnothorax miliaris,goldentail moray,adult,1,0,0,0,70,1,1,4,0
Anguilliformes,Muraenidae,Gymnothorax moringa,spotted moray,adult,1,0,0,0,200,0,1,4,0
Anguilliformes,Muraenidae,Gymnothorax vicinus,purplemouth moray,adult,1,0,1,0,122,1,1,4,0
Anguilliformes,Ophichthidae,Myrichthys breviceps,sharptail eel,adult,1,0,0,0,102,1,1,3,0
Atheriniformes,Atherinopsidae,Menidia peninsulae,silverside,adult,0,0,1,2,18.3,2,0,2,1
Beryciformes,Holocentridae,Holocentrus adscensionis,squirrelfish,adult,0,1,1,0,60.8,1,1,3,3
Beryciformes,Holocentridae,Holocentrus rufus,longspine squirrelfish,adult,0,1,1,0,35,1,1,3,3
Beryciformes,Holocentridae,Myripristis jacobus,blackbar soldierfish,adult,0,1,1,1,25,1,1,2,3
Perciformes,Acanthuridae,Acanthurus chirurgus,doctorfish,adult,0,0,1,0,35,1,0,0,4
Perciformes,Acanthuridae,Acanthurus coeruleus,blue tang,adult,0,0,1,0,36,3,0,0,4
Perciformes,Acanthuridae,Acanthurus coeruleus,blue tang,juvenile,0,0,1,0,NA,3,0,0,4
Perciformes,Acanthuridae,Acanthurus tractus,ocean surgeonfish,adult,0,0,1,0,35,1,0,0,4
Perciformes,Apogonidae,Apogon binotatus,barred cardinalfish,adult,0,1,1,0,15,1,1,2,3
Perciformes,Apogonidae,Apogon lachneri,whitestar cardinalfish,adult,0,1,1,0,6.5,1,1,2,3
Perciformes,Blenniidae,Hypleurochilus bermudensis,barred blenny,adult,0,0,1,0,10,0,1,1,3
Perciformes,Blenniidae,Parablennius marmoreus,seaweed blenny,adult,0,0,1,0,8.5,0,1,1,3
Perciformes,Callionymidae,Callionymus bairdi,lancer dragonet,adult,0,0,1,0,11.4,0,1,4,1
Perciformes,Carangidae,Caranx bartholomaei,yellow jack,adult,0,0,1,0,89.5,3,0,4,3
Perciformes,Carangidae,Caranx crysos,blue runner,adult,0,0,1,2,70,2,0,4,3
Perciformes,Carangidae,Caranx ruber,bar jack,adult,0,0,1,2,50,2,0,4,3
Perciformes,Carangidae,Decapterus macarellus,mackerel scad,adult,0,0,2,2,32,2,0,2,3
Perciformes,Carangidae,Decapterus punctatus,round scad,adult,0,0,1,2,21.3,2,0,2,3
Perciformes,Carangidae,Seriola dumerili,amberjack,adult,1,0,1,2,188,2,0,4,3
Perciformes,Carangidae,Trachinotus carolinus,florida pompano,adult,0,0,1,2,64,2,0,3,4
Perciformes,Carangidae,Trachinotus falcatus,permit,adult,0,0,1,0,149,2,1,3,4
Perciformes,Chaenopsidae,Acanthemblemaria aspera,roughhead blenny,adult,0,0,0,0,4,0,1,3,1
Perciformes,Chaenopsidae,Acanthemblemaria chaplini,papillose blenny,adult,0,0,1,0,4.5,0,1,3,1
Perciformes,Chaenopsidae,Emblemaria pandionis,sailfin blennyÂ ,adult,0,0,0,0,7,0,1,3,1
Perciformes,Chaenopsidae,Emblemariopsis bahamensis,blackhead blenny,adult,0,0,1,0,2.5,0,0,3,1
Perciformes,Chaenopsidae,Emblemariopsis diaphana,glass blenny,adult,0,0,1,0,4,0,1,3,1
Perciformes,Chaenopsidae,Hemiemblemaria simulus,wrasse blenny,adult,0,0,1,0,10,3,1,4,1
Perciformes,Chaetodontidae,Chaetodon capistratus,foureye butterflyfish,adult,0,0,1,0,7.5,3,1,3,4
Perciformes,Chaetodontidae,Chaetodon ocellatus,spotfin butterflyfish,adult,0,0,1,0,20,3,0,3,4
Perciformes,Chaetodontidae,Chaetodon sedentarius,reef butterflyfish,adult,0,0,1,0,15,3,1,3,4
Perciformes,Chaetodontidae,Chaetodon striatus,banded butterflyfish,adult,0,0,1,1,16,3,1,3,4
Perciformes,Chaetodontidae,Prognathodes aculeatus,longsnout butterflyfish,adult,0,0,1,0,10,3,1,3,4
Perciformes,Ephippidae,Chaetodipterus faber,atlantic spadefish,adult,0,0,1,2,91,2,1,3,4
Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,adult,1,1,1,0,33,1,1,4,3
Perciformes,Epinephelidae,Cephalopholis fulva,coney,adult,1,1,1,0,41,1,1,4,3
Perciformes,Epinephelidae,Epinephelus adscensionis,rock hind,adult,1,0,1,0,60,1,1,3,3
Perciformes,Epinephelidae,Epinephelus guttatus,red hind,adult,1,0,1,0,76,1,0,3,3
Perciformes,Epinephelidae,Epinephelus morio,red grouper,adult,1,0,1,0,125,1,1,4,3
Perciformes,Epinephelidae,Epinephelus striatus,nassau grouper,adult,1,0,1,0,100,1,1,4,3
Perciformes,Epinephelidae,Mycteroperca bonaci,black grouper,adult,1,0,1,0,152,1,1,4,3
Perciformes,Epinephelidae,Mycteroperca microlepis,gag grouper,adult,1,0,1,0,145,1,1,4,3
Perciformes,Epinephelidae,Mycteroperca phenax,scamp,adult,1,0,1,0,107,1,0,4,3
Perciformes,Epinephelidae,Rypticus saponaceus,greater soapfish,adult,1,0,1,0,35,1,1,4,3
Perciformes,Gobiidae,Coryphopterus dicrus,colon goby,adult,0,0,1,0,5,0,1,1,1
Perciformes,Gobiidae,Coryphopterus eidolon,pallid goby,adult,0,0,1,0,6,0,1,1,3
Perciformes,Gobiidae,Coryphopterus glaucofraenum,bridled goby,adult,0,0,1,0,8,0,1,1,1
Perciformes,Gobiidae,Coryphopterus personatus,masked goby,adult,0,0,1,2,4,3,1,2,3
Perciformes,Gobiidae,Ctenogobius saepepallens,dash goby,adult,0,0,0,0,5,0,1,3,1
Perciformes,Gobiidae,Elacatinus oceanops,neon goby,adult,0,0,1,0,5,3,0,3,3
Perciformes,Gobiidae,Gnatholepis thompsoni,goldspot goby,adult,0,0,1,0,8.2,0,0,1,3
Perciformes,Gobiidae,Nes longus,orangespotted goby,adult,0,0,1,0,10,0,1,3,3
Perciformes,Gobiidae,Tigrigobius macrodon,tiger goby,adult,0,0,1,0,5,1,1,3,1
Perciformes,Haemulidae,Anisotremus surinamensis,black margate,adult,1,0,1,0,76,2,1,3,4
Perciformes,Haemulidae,Anisotremus virginicus,porkfish,adult,0,1,1,0,40.6,3,1,3,4
Perciformes,Haemulidae,Haemulon album,white margate,adult,0,1,1,2,79,2,0,3,3
Perciformes,Haemulidae,Haemulon aurolineatum,tomtate,adult,0,0,1,2,25,3,0,1,3
Perciformes,Haemulidae,Haemulon bonariense,black grunt,adult,0,0,1,0,40,2,0,4,3
Perciformes,Haemulidae,Haemulon carbonarium,caesar grunt,adult,0,1,1,2,42.5,3,0,3,3
Perciformes,Haemulidae,Haemulon chrysargyreum,smallmouth grunt,adult,0,1,1,2,23,3,0,2,3
Perciformes,Haemulidae,Haemulon flavolineatum,french grunt,adult,0,0,1,2,30,3,1,3,3
Perciformes,Haemulidae,Haemulon macrostomum,spanish grunt,adult,0,0,1,0,43,2,0,3,4
Perciformes,Haemulidae,Haemulon melanurum,cottonwick,adult,0,0,1,2,35,3,0,3,4
Perciformes,Haemulidae,Haemulon parra,sailor's choice,adult,0,1,1,2,40,2,0,4,4
Perciformes,Haemulidae,Haemulon plumierii,white grunt,adult,0,0,1,2,59,2,0,4,3
Perciformes,Haemulidae,Haemulon sciurus,bluestriped grunt,adult,0,0,1,2,46,3,0,3,3
Perciformes,Haemulidae,Haemulon striatum,striped grunt,adult,0,1,1,2,28,3,0,2,3
Perciformes,Kyphosidae,Kyphosus sectatrix,bermuda chub,adult,0,0,1,2,76,2,0,1,3
Perciformes,Kyphosidae,Kyphosus vaigiensis,yellow chub,adult,0,0,1,2,70,2,0,1,4
Perciformes,Labridae,Bodianus rufus,spanish hogfish,adult,0,0,1,0,40,3,0,3,3
Perciformes,Labridae,Clepticus parrae,creole wrasse,adult,0,0,1,1,30,3,0,2,3
Perciformes,Labridae,Cryptotomus roseus,bluelip parrotfish,adult,0,0,1,1,13,3,1,0,3
Perciformes,Labridae,Halichoeres bivittatus,slippery dick,adult,0,0,1,1,35,3,0,4,3
Perciformes,Labridae,Halichoeres garnoti,yellowhead wrasse,adult,0,0,1,1,19.3,3,0,3,3
Perciformes,Labridae,Halichoeres maculipinna,clown wrasse,adult,0,0,1,1,18,3,1,3,3
Perciformes,Labridae,Halichoeres pictus,rainbow wrasse,adult,0,0,1,1,13,3,0,3,3
Perciformes,Labridae,Halichoeres poeyi,blackear wrasse,adult,0,0,1,0,20,3,1,3,3
Perciformes,Labridae,Halichoeres radiatus,puddingwife,adult,0,0,1,1,51,3,0,3,3
Perciformes,Labridae,Halichoeres radiatus,puddingwife,juvenile,0,0,1,1,NA,3,0,3,3
Perciformes,Labridae,Lachnolaimus maximus,hogfish,adult,0,0,1,0,91,3,0,3,4
Perciformes,Labridae,Lachnolaimus maximus,hogfish,juvenile,0,0,1,0,NA,0,0,3,4
Perciformes,Labridae,Scarus coelestinus,midnight parrotfish,adult,0,0,1,0,77,3,0,0,3
Perciformes,Labridae,Scarus coeruleus,blue parrotfish,adult,0,0,1,0,90,1,1,1,3
Perciformes,Labridae,Scarus guacamaia,rainbow parrotfish,adult,0,0,1,0,120,3,0,0,3
Perciformes,Labridae,Scarus iseri,striped parrotfish,adult,0,0,1,1,35,3,0,0,3
Perciformes,Labridae,Scarus taeniopterus,princess parrotfish,adult,0,0,1,1,35,3,0,0,3
Perciformes,Labridae,Scarus vetula,queen parrotfish,adult,0,0,1,0,44,3,0,0,3
Perciformes,Labridae,Sparisoma atomarium,greenblotch parrotfish,adult,0,0,1,1,25,3,1,0,3
Perciformes,Labridae,Sparisoma aurofrenatum,redband parrotfish,adult,0,0,1,1,28,3,1,0,3
Perciformes,Labridae,Sparisoma chrysopterum,redtail parrotfish,adult,0,0,1,0,46,0,0,0,3
Perciformes,Labridae,Sparisoma radians,bucktooth parrotfish,adult,0,0,1,2,20,3,1,0,3
Perciformes,Labridae,Sparisoma rubripinne,yellowtail parrotfish,adult,0,0,1,0,47.8,3,0,0,3
Perciformes,Labridae,Sparisoma viride,stoplight parrotfish,adult,0,0,1,1,50,3,0,1,3
Perciformes,Labridae,Thalassoma bifasciatum,bluehead wrasse,adult,0,0,1,1,25,3,0,2,3
Perciformes,Labridae,Xyrichtys novacula,pearly razorfish,adult,0,0,1,0,38,3,1,3,1
Perciformes,Labridae,Xyrichtys splendens,green razorfish,adult,0,0,1,0,17.5,3,1,3,1
Perciformes,Labrisomidae,Gobioclinus bucciferus,puffcheek blenny,adult,0,0,1,0,9,0,1,4,1
Perciformes,Labrisomidae,Malacoctenus gilli,dusky blenny,adult,0,0,1,0,7.6,0,1,3,1
Perciformes,Labrisomidae,Malacoctenus macropus,rosy blenny,adult,0,0,1,0,5.5,0,1,3,3
Perciformes,Labrisomidae,Malacoctenus triangulatus,saddled blenny,adult,0,0,1,0,7.5,0,1,3,3
Perciformes,Lutjanidae,Lutjanus analis,mutton snapper,adult,1,0,1,0,94,2,0,3,3
Perciformes,Lutjanidae,Lutjanus apodus,schoolmaster snapper,adult,0,0,1,0,67.2,3,1,4,3
Perciformes,Lutjanidae,Lutjanus buccanella,blackfin snapper,adult,0,0,1,0,75,2,0,4,3
Perciformes,Lutjanidae,Lutjanus cyanopterus,cubera snapper,adult,1,0,1,0,160,2,1,4,3
Perciformes,Lutjanidae,Lutjanus griseus,gray snapper,adult,1,1,1,2,89,2,0,4,3
Perciformes,Lutjanidae,Lutjanus jocu,dog snapper,adult,0,0,1,0,128,2,1,4,3
Perciformes,Lutjanidae,Lutjanus mahogoni,mahogany snapper,adult,0,1,1,2,48,2,0,4,3
Perciformes,Lutjanidae,Lutjanus synagris,lane snapper,adult,0,1,1,2,60,3,0,4,3
Perciformes,Lutjanidae,Ocyurus chrysurus,yellowtail snapper,adult,0,0,1,2,86.3,3,0,4,3
Perciformes,Microdesmidae,Ptereleotris calliura,blue dartfish,adult,0,0,0,0,12.5,1,1,2,1
Perciformes,Mullidae,Mulloidichthys martinicus,yellow goatfish,adult,0,0,1,1,40,3,0,3,3
Perciformes,Mullidae,Pseudupeneus maculatus,spotted goatfish,adult,0,0,1,1,30,3,0,4,3
Perciformes,Opistognathidae,Opistognathus aurifrons,yellowhead jawfish,adult,0,0,0,0,12.6,3,1,2,1
Perciformes,Opistognathidae,Opistognathus macrognathus,banded jawfish,adult,0,0,0,0,20,0,1,4,1
Perciformes,Pomacanthidae,Holacanthus bermudensis,blue angelfish,adult,0,0,1,0,45,3,0,3,4
Perciformes,Pomacanthidae,Holacanthus bermudensis,blue angelfish,juvenile,0,0,1,0,NA,3,0,3,4
Perciformes,Pomacanthidae,Holacanthus ciliaris,queen angelfish,adult,0,0,1,0,45,3,0,3,4
Perciformes,Pomacanthidae,Holacanthus ciliaris,queen angelfish,juvenile,0,0,1,0,22,3,0,3,4
Perciformes,Pomacanthidae,Holacanthus tricolor,rock beauty,adult,0,0,1,0,35,3,0,1,4
Perciformes,Pomacanthidae,Holocanthus townsendi,townsend angelfish,adult,0,0,1,0,45,3,0,1,4
Perciformes,Pomacanthidae,Pomacanthus arcuatus,gray angelfish,adult,0,0,1,0,60,1,0,1,4
Perciformes,Pomacanthidae,Pomacanthus arcuatus,gray angelfish,juvenile,0,0,1,0,23,3,0,1,4
Perciformes,Pomacanthidae,Pomacanthus paru,french angelfish,adult,0,0,1,0,60,3,0,1,4
Perciformes,Pomacanthidae,Pomacanthus paru,french angelfish,juvenile,0,0,1,0,25,3,0,1,4
Perciformes,Pomacentridae,Abudefduf saxatilis,sergeant major,adult,0,0,1,1,23,3,0,1,4
Perciformes,Pomacentridae,Abudefduf saxatilis,sergeant major,juvenile,0,0,1,1,NA,3,0,1,4
Perciformes,Pomacentridae,Chromis cyanea,blue chromis,adult,0,0,1,1,25,3,1,2,3
Perciformes,Pomacentridae,Chromis cyanea,blue chromis,juvenile,0,0,1,1,NA,3,1,2,3
Perciformes,Pomacentridae,Chromis insolata,sunshinefish,adult,0,0,1,1,16,1,0,2,3
Perciformes,Pomacentridae,Chromis insolata,sunshinefish,juvenile,0,0,1,1,NA,3,0,2,3
Perciformes,Pomacentridae,Chromis multilineata,brown chromis,adult,0,0,1,1,20,1,0,2,3
Perciformes,Pomacentridae,Chromis multilineata,brown chromis,juvenile,0,0,1,1,NA,NA,0,2,3
Perciformes,Pomacentridae,Chromis scotti,purple reeffish,adult,0,0,1,0,10,1,0,2,3
Perciformes,Pomacentridae,Chromis scotti,purple reeffish,juvenile,0,0,1,0,NA,3,0,2,3
Perciformes,Pomacentridae,Microspathodon chrysurus,yellowtail damselfish,adult,0,0,1,0,21,1,0,1,3
Perciformes,Pomacentridae,Microspathodon chrysurus,yellowtail damselfish,juvenile,0,0,1,0,NA,3,0,1,3
Perciformes,Pomacentridae,Stegastes adustus,dusky damselfish,adult,0,0,1,0,15,1,0,0,3
Perciformes,Pomacentridae,Stegastes diencaeus,longfin damselfish,adult,0,0,1,0,13,1,0,1,3
Perciformes,Pomacentridae,Stegastes diencaeus,longfin damselfish,juvenile,0,0,1,0,NA,3,0,1,3
Perciformes,Pomacentridae,Stegastes leucostictus,beaugregory,adult,0,0,1,0,10,1,0,1,3
Perciformes,Pomacentridae,Stegastes leucostictus,beaugregory,juvenile,0,0,1,0,NA,3,NA,1,3
Perciformes,Pomacentridae,Stegastes partitus,bicolor damselfish,adult,0,0,1,0,10,3,0,1,3
Perciformes,Pomacentridae,Stegastes partitus,bicolor damselfish,juvenile,0,0,1,0,6,NA,NA,1,3
Perciformes,Pomacentridae,Stegastes planifrons,threespot damselfish,adult,0,0,1,0,13,1,0,1,3
Perciformes,Pomacentridae,Stegastes planifrons,threespot damselfish,juvenile,0,0,1,0,NA,3,0,1,3
Perciformes,Pomacentridae,Stegastes xanthurus,cocoa damselfish,adult,0,0,1,0,12.5,1,0,1,3
Perciformes,Pomacentridae,Stegastes xanthurus,cocoa damselfish,juvenile,0,0,1,0,NA,3,NA,1,3
Perciformes,Sciaenidae,Equetus punctatus,spotted drum,adult,0,1,1,0,25,3,1,3,3
Perciformes,Sciaenidae,Pareques acuminatus,highhat,adult,0,1,1,2,25,3,1,4,3
Perciformes,Scombridae,Scomberomorus maculatus,spanish mackerel,adult,0,0,1,2,101,2,0,4,3
Perciformes,Scombridae,Scomberomorus regalis,cero,adult,0,0,1,2,83,2,0,4,3
Perciformes,Serranidae,Hypoplectrus floridae,florida barred hamlet,adult,0,0,1,0,15,1,1,4,4
Perciformes,Serranidae,Hypoplectrus gemma,blue hamlet,adult,0,0,1,0,13,3,0,4,4
Perciformes,Serranidae,Hypoplectrus indigo,indigo hamlet,adult,0,0,1,0,15,3,1,4,4
Perciformes,Serranidae,Hypoplectrus nigricans,black hamlet,adult,0,0,1,0,15.2,1,0,4,4
Perciformes,Serranidae,Hypoplectrus puella,barred hamlet,adult,0,0,1,0,13,1,1,4,4
Perciformes,Serranidae,Hypoplectrus randallorum,tan hamlet,adult,0,0,1,0,13,1,0,4,4
Perciformes,Serranidae,Hypoplectrus unicolor,butter hamlet,adult,0,0,1,0,13,1,1,4,4
Perciformes,Serranidae,Serranus baldwini,lantern bass,adult,0,0,1,0,7.5,0,1,4,3
Perciformes,Serranidae,Serranus tabacarius,tobaccofish,adult,0,0,1,0,21.8,3,1,4,3
Perciformes,Serranidae,Serranus tigrinus,harlequin bass,adult,0,0,1,0,12.3,0,1,3,3
Perciformes,Serranidae,Serranus tortugarum,chalk bass,adult,0,0,1,2,8,3,1,2,3
Perciformes,Sparidae,Archosargus probatocephalus,sheepshead,adult,0,0,1,0,91,2,0,3,4
Perciformes,Sparidae,Archosargus rhomboidalis,seabream,adult,0,0,1,0,33,3,0,1,4
Perciformes,Sparidae,Calamus bajonado,jolthead porgy,adult,0,0,1,0,76,3,1,3,4
Perciformes,Sparidae,Calamus calamus,saucereye porgy,adult,0,0,1,0,68,2,0,3,4
Perciformes,Sparidae,Calamus nodosus,knobbed porgy,adult,0,0,1,0,54.4,2,0,3,4
Perciformes,Sparidae,Calamus pennatula,pluma porgy,adult,0,0,1,0,37,3,0,3,4
Perciformes,Sparidae,Calamus proridens,littlehead porgy,adult,0,0,1,0,46,2,0,3,4
Perciformes,Sphyraenidae,Sphyraena barracuda,barracuda,adult,1,0,1,0,180,2,0,4,2
Perciformes,Synodontidae,Synodus intermedius,sand diver,adult,0,0,1,0,45,0,1,4,1
Perciformes,Synodontidae,Synodus synodus,red lizardfish,adult,0,0,1,0,30,0,1,4,1
Pleuronectiformes,Bothidae,Bothus ocellatus,eyed flounder,adult,0,0,1,0,18,0,1,4,5
Scorpaeniformes,Scorpaenidae,Pterois volitans,lionfish,adult,1,1,1,0,45.7,1,1,4,3
Scorpaeniformes,Scorpaenidae,Scorpaena plumieri,spotted scorpionfish,adult,1,0,1,0,50,0,1,4,3
Syngnathiformes,Aulostomidae,Aulostomus maculatus,trumpetfish,adult,1,0,1,0,80,1,1,4,1
Tetraodontiformes,Balistidae,Balistes capriscus,gray triggerfish,adult,0,0,1,0,60,1,0,3,4
Tetraodontiformes,Balistidae,Canthidermis sufflamen,ocean triggerfish,adult,0,0,1,2,55,1,0,2,4
Tetraodontiformes,Diodontidae,Diodon holocanthus,balloonfish,adult,0,1,1,0,50,0,0,3,6
Tetraodontiformes,Diodontidae,Diodon hystrix,porcupinefish,adult,0,1,1,0,91,0,1,3,6
Tetraodontiformes,Monacanthidae,Aluterus scriptus,scrawled filefish,adult,0,0,1,0,110,3,1,1,4
Tetraodontiformes,Monacanthidae,Cantherhines macrocerus,whitespotted filefish,adult,0,0,1,0,40,3,1,1,4
Tetraodontiformes,Monacanthidae,Cantherhines pullus,orangespotted filefish,adult,0,0,1,0,20,3,1,1,4
Tetraodontiformes,Monacanthidae,Monacanthus tuckeri,slender filefish,adult,0,0,1,0,9,3,1,1,4
Tetraodontiformes,Ostraciidae,Acanthostracion quadricornis,scrawled cowfish,adult,0,0,1,0,55,3,1,1,6
Tetraodontiformes,Ostraciidae,Lactophrys bicaudalis,spotted trunkfish,adult,0,0,1,0,48,3,1,1,6
Tetraodontiformes,Ostraciidae,Lactophrys bicaudalis,spotted trunkfish,juvenile,0,0,1,0,NA,3,1,1,6
Tetraodontiformes,Ostraciidae,Lactophrys trigonus,buffalo trunkfish,adult,0,0,1,0,55,0,1,1,6
Tetraodontiformes,Ostraciidae,Lactophrys triqueter,smooth trunkfish,adult,0,0,1,0,47,3,0,3,6
Tetraodontiformes,Ostraciidae,Lactophrys triqueter,smooth trunkfish,juvenile,0,0,1,0,NA,3,0,3,6
Tetraodontiformes,Tetraodontidae,Canthigaster rostrata,sharpnose puffer,adult,0,0,1,0,12,3,0,1,6
Tetraodontiformes,Tetraodontidae,Sphoeroides spengleri,bandtail puffer,adult,0,0,1,0,15,0,1,3,3